Div,Date,HomeTeam,AwayTeam,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Time
primera,2000-01-23,Ath Bilbao,Valladolid,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-01-23,Ath Madrid,Sociedad,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-01-23,Barcelona,Santander,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-01-23,Malaga,Alaves,0.0,1.0,A,,,,,,,,,,,,,
primera,2000-01-23,Mallorca,Vallecano,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-01-23,Numancia,Real Madrid,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-01-23,Oviedo,Zaragoza,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-01-23,Sevilla,Celta,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-01-23,Valencia,Espanol,1.0,1.0,D,,,,,,,,,,,,,
primera,2000-01-26,Real Madrid,Betis,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-01-29,Celta,Ath Madrid,0.0,1.0,A,,,,,,,,,,,,,
primera,2000-01-29,Espanol,Barcelona,1.0,1.0,D,,,,,,,,,,,,,
primera,2000-01-30,Alaves,Valencia,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-01-30,Betis,Malaga,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-01-30,Numancia,Mallorca,3.0,1.0,H,,,,,,,,,,,,,
primera,2000-01-30,Real Madrid,Ath Bilbao,1.0,1.0,D,,,,,,,,,,,,,
primera,2000-01-30,Santander,Oviedo,2.0,0.0,H,,,,,,,,,,,,,
primera,2000-01-30,Sociedad,Vallecano,2.0,0.0,H,,,,,,,,,,,,,
primera,2000-01-30,Valladolid,La Coruna,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-01-30,Zaragoza,Sevilla,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-02-05,Valencia,Betis,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-02-06,Ath Bilbao,Numancia,1.0,1.0,D,,,,,,,,,,,,,
primera,2000-02-06,Ath Madrid,Zaragoza,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-02-06,Barcelona,Alaves,0.0,1.0,A,,,,,,,,,,,,,
primera,2000-02-06,La Coruna,Real Madrid,2.0,1.0,H,,,,,,,,,,,,,
primera,2000-02-06,Malaga,Valladolid,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-02-06,Mallorca,Sociedad,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-02-06,Oviedo,Espanol,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-02-06,Sevilla,Santander,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-02-06,Vallecano,Celta,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-02-12,Ath Bilbao,Mallorca,0.0,1.0,A,,,,,,,,,,,,,
primera,2000-02-12,Real Madrid,Malaga,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-02-12,Valladolid,Valencia,0.0,0.0,D,,,,,,,,,,,,,
